Banco de México,
,
Exchange rates and auctions historical information,
Tipos de cambio diarios,
,
Date: 03/02/2024 06:14:08,
,
,
,
Title,"Exchange rate pesos per US dollar, Used to settle liabilities denominated in foreign currency, Date of settlement"
Information type,Levels
Date,SF60653
05/25/2015,15.2326
05/26/2015,15.2918
05/27/2015,15.2635
05/28/2015,15.3235
05/29/2015,15.3581
05/30/2015,15.3737
05/31/2015,15.3737
06/01/2015,15.3737
06/02/2015,15.3815
06/03/2015,15.4845
06/04/2015,15.4128
06/05/2015,15.4833
06/06/2015,15.5347
06/07/2015,15.5347
06/08/2015,15.5347
06/09/2015,15.6958
06/10/2015,15.6715
06/11/2015,15.5645
06/12/2015,15.4779
06/13/2015,15.4409
06/14/2015,15.4409
06/15/2015,15.4409
06/16/2015,15.4129
06/17/2015,15.4327
06/18/2015,15.4192
06/19/2015,15.4199
06/20/2015,15.2828
06/21/2015,15.2828
06/22/2015,15.2828
06/23/2015,15.3274
06/24/2015,15.3072
06/25/2015,15.4088
06/26/2015,15.4555
06/27/2015,15.4816
06/28/2015,15.4816
06/29/2015,15.4816
06/30/2015,15.5676
07/01/2015,15.6599
07/02/2015,15.6854
07/03/2015,15.7829
07/04/2015,15.6821
07/05/2015,15.6821
07/06/2015,15.6821
07/07/2015,15.6918
07/08/2015,15.753
07/09/2015,15.8281
07/10/2015,15.8174
07/11/2015,15.7856
07/12/2015,15.7856
07/13/2015,15.7856
07/14/2015,15.7329
07/15/2015,15.7404
07/16/2015,15.6728
07/17/2015,15.747
07/18/2015,15.8014
07/19/2015,15.8014
07/20/2015,15.8014
07/21/2015,15.9121
07/22/2015,15.9856
07/23/2015,15.9728
07/24/2015,16.095
07/25/2015,16.0988
07/26/2015,16.0988
07/27/2015,16.0988
07/28/2015,16.2364
07/29/2015,16.2681
07/30/2015,16.2638
07/31/2015,16.214
08/01/2015,16.4512
08/02/2015,16.4512
08/03/2015,16.4512
08/04/2015,16.0772
08/05/2015,16.1129
08/06/2015,16.1736
08/07/2015,16.3762
08/08/2015,16.3533
08/09/2015,16.3533
08/10/2015,16.3533
08/11/2015,16.1645
08/12/2015,16.1652
08/13/2015,16.3241
08/14/2015,16.2976
08/15/2015,16.3541
08/16/2015,16.3541
08/17/2015,16.3541
08/18/2015,16.3658
08/19/2015,16.3993
08/20/2015,16.4317
08/21/2015,16.4908
08/22/2015,16.7182
08/23/2015,16.7182
08/24/2015,16.7182
08/25/2015,16.9171
08/26/2015,17.0975
08/27/2015,16.9859
08/28/2015,17.1065
08/29/2015,16.8863
08/30/2015,16.8863
08/31/2015,16.8863
09/01/2015,16.7684
09/02/2015,16.7829
09/03/2015,16.8692
09/04/2015,16.9444
09/05/2015,16.7918
09/06/2015,16.7918
09/07/2015,16.7918
09/08/2015,16.8454
09/09/2015,16.988
09/10/2015,16.7979
09/11/2015,16.7773
09/12/2015,16.8103
09/13/2015,16.8103
09/14/2015,16.8103
09/15/2015,16.8261
09/16/2015,16.8168
09/17/2015,16.8168
09/18/2015,16.7716
09/19/2015,16.568
09/20/2015,16.568
09/21/2015,16.568
09/22/2015,16.539
09/23/2015,16.6865
09/24/2015,16.8713
09/25/2015,17.0453
09/26/2015,17.1149
09/27/2015,17.1149
09/28/2015,17.1149
09/29/2015,16.9595
09/30/2015,17.0073
10/01/2015,17.0771
10/02/2015,16.9053
10/03/2015,16.8566
10/04/2015,16.8566
10/05/2015,16.8566
10/06/2015,16.8162
10/07/2015,16.6941
10/08/2015,16.6878
10/09/2015,16.5762
10/10/2015,16.5464
10/11/2015,16.5464
10/12/2015,16.5464
10/13/2015,16.418
10/14/2015,16.4219
10/15/2015,16.5848
10/16/2015,16.5804
10/17/2015,16.425
10/18/2015,16.425
10/19/2015,16.425
10/20/2015,16.3959
10/21/2015,16.4899
10/22/2015,16.5618
10/23/2015,16.66
10/24/2015,16.5284
10/25/2015,16.5284
10/26/2015,16.5284
10/27/2015,16.5138
10/28/2015,16.4998
10/29/2015,16.5545
10/30/2015,16.4503
10/31/2015,16.6219
11/01/2015,16.6219
11/02/2015,16.6219
11/03/2015,16.6219
11/04/2015,16.5244
11/05/2015,16.4196
11/06/2015,16.5147
11/07/2015,16.5959
11/08/2015,16.5959
11/09/2015,16.5959
11/10/2015,16.8382
11/11/2015,16.87
11/12/2015,16.7658
11/13/2015,16.7173
11/14/2015,16.7406
11/15/2015,16.7406
11/16/2015,16.7406
11/17/2015,16.7406
11/18/2015,16.7395
11/19/2015,16.757
11/20/2015,16.7636
11/21/2015,16.5748
11/22/2015,16.5748
11/23/2015,16.5748
11/24/2015,16.512
11/25/2015,16.5306
11/26/2015,16.4705
11/27/2015,16.5548
11/28/2015,16.5492
11/29/2015,16.5492
11/30/2015,16.5492
12/01/2015,16.5784
12/02/2015,16.5856
12/03/2015,16.5104
12/04/2015,16.5933
12/05/2015,16.7095
12/06/2015,16.7095
12/07/2015,16.7095
12/08/2015,16.6757
12/09/2015,16.9044
12/10/2015,17.0164
12/11/2015,17.016
12/12/2015,17.075
12/13/2015,17.075
12/14/2015,17.075
12/15/2015,17.3592
12/16/2015,17.3776
12/17/2015,17.1529
12/18/2015,17.136
12/19/2015,17.1
12/20/2015,17.1
12/21/2015,17.1
12/22/2015,17.0139
12/23/2015,17.1034
12/24/2015,17.1847
12/25/2015,17.1953
12/26/2015,17.1953
12/27/2015,17.1953
12/28/2015,17.1953
12/29/2015,17.276
12/30/2015,17.271
12/31/2015,17.2065
01/01/2016,17.3398
01/02/2016,17.3398
01/03/2016,17.3398
01/04/2016,17.3398
01/05/2016,17.2487
01/06/2016,17.3529
01/07/2016,17.3456
01/08/2016,17.4411
01/09/2016,17.6568
01/10/2016,17.6568
01/11/2016,17.6568
01/12/2016,17.9283
01/13/2016,17.9304
01/14/2016,17.9119
01/15/2016,17.85
01/16/2016,17.9121
01/17/2016,17.9121
01/18/2016,17.9121
01/19/2016,18.2108
01/20/2016,18.2327
01/21/2016,18.1947
01/22/2016,18.608
01/23/2016,18.5084
01/24/2016,18.5084
01/25/2016,18.5084
01/26/2016,18.428
01/27/2016,18.5352
01/28/2016,18.4715
01/29/2016,18.453
01/30/2016,18.2906
01/31/2016,18.2906
02/01/2016,18.2906
02/02/2016,18.2906
02/03/2016,18.1935
02/04/2016,18.4902
02/05/2016,18.4537
02/06/2016,18.1891
02/07/2016,18.1891
02/08/2016,18.1891
02/09/2016,18.3748
02/10/2016,18.6959
02/11/2016,18.7818
02/12/2016,18.8089
02/13/2016,19.1754
02/14/2016,19.1754
02/15/2016,19.1754
02/16/2016,19.0392
02/17/2016,18.8471
02/18/2016,18.8148
02/19/2016,18.3895
02/20/2016,18.1439
02/21/2016,18.1439
02/22/2016,18.1439
02/23/2016,18.2762
02/24/2016,18.0568
02/25/2016,18.1948
02/26/2016,18.2893
02/27/2016,18.168
02/28/2016,18.168
02/29/2016,18.168
03/01/2016,18.1706
03/02/2016,18.102
