Banco de México,
,
Securities prices and interest rates,
Tasas de Interés en el Mercado de Dinero,
,
Date: 03/02/2024 06:10:39,
,
,
,
Title,"28 day TIIE, Interest rate in annual percent"
Information type,Levels
Date,SF43783
06/16/2016,4.1037
06/17/2016,4.1046
06/20/2016,4.105
06/21/2016,4.1091
06/22/2016,4.11
06/23/2016,4.0995
06/24/2016,4.0995
06/27/2016,4.1042
06/28/2016,4.1185
06/29/2016,4.1131
06/30/2016,4.1116
07/01/2016,4.1138
07/04/2016,4.56
07/05/2016,4.5605
07/06/2016,4.5715
07/07/2016,4.5775
07/08/2016,4.5821
07/11/2016,4.576
07/12/2016,4.5758
07/13/2016,4.5806
07/14/2016,4.585
07/15/2016,4.589
07/18/2016,4.59
07/19/2016,4.59
07/20/2016,4.5875
07/21/2016,4.5908
07/22/2016,4.5854
07/25/2016,4.5849
07/26/2016,4.5895
07/27/2016,4.59
07/28/2016,4.5882
07/29/2016,4.5874
08/01/2016,4.585
08/02/2016,4.585
08/03/2016,4.5836
08/04/2016,4.5828
08/05/2016,4.5874
08/08/2016,4.586
08/09/2016,4.5906
08/10/2016,4.59
08/11/2016,4.59
08/12/2016,4.5875
08/15/2016,4.5916
08/16/2016,4.5912
08/17/2016,4.5911
08/18/2016,4.5937
08/19/2016,4.595
08/22/2016,4.595
08/23/2016,4.594
08/24/2016,4.595
08/25/2016,4.5925
08/26/2016,4.5925
08/29/2016,4.595
08/30/2016,4.595
08/31/2016,4.595
09/01/2016,4.595
09/02/2016,4.5925
09/05/2016,4.5925
09/06/2016,4.595
09/07/2016,4.595
09/08/2016,4.595
09/09/2016,4.59
09/12/2016,4.5906
09/13/2016,4.591
09/14/2016,4.595
09/15/2016,4.595
09/19/2016,4.595
09/20/2016,4.5951
09/21/2016,4.625
09/22/2016,4.6275
09/23/2016,4.6343
09/26/2016,4.6389
09/27/2016,4.6369
09/28/2016,4.6399
09/29/2016,4.6439
09/30/2016,4.6683
10/03/2016,5.0725
10/04/2016,5.0935
10/05/2016,5.0975
10/06/2016,5.1025
10/07/2016,5.105
10/10/2016,5.11
10/11/2016,5.1065
10/12/2016,5.1069
10/13/2016,5.1122
10/14/2016,5.11
10/17/2016,5.1115
10/18/2016,5.11
10/19/2016,5.1134
10/20/2016,5.1125
10/21/2016,5.115
10/24/2016,5.1247
10/25/2016,5.1178
10/26/2016,5.1155
10/27/2016,5.1162
10/28/2016,5.1163
10/31/2016,5.1103
11/01/2016,5.1086
11/03/2016,5.1143
11/04/2016,5.1118
11/07/2016,5.1136
11/08/2016,5.115
11/09/2016,5.1173
11/10/2016,5.2018
11/11/2016,5.2359
11/14/2016,5.247
11/15/2016,5.285
11/16/2016,5.31
11/17/2016,5.35
11/18/2016,5.38
11/22/2016,5.595
11/23/2016,5.575
11/24/2016,5.5725
11/25/2016,5.5762
11/28/2016,5.575
11/29/2016,5.5677
11/30/2016,5.5738
12/01/2016,5.5735
12/02/2016,5.585
12/05/2016,5.589
12/06/2016,5.595
12/07/2016,5.6035
12/08/2016,5.5983
12/09/2016,5.605
12/13/2016,5.6013
12/14/2016,5.6019
12/15/2016,5.6049
12/16/2016,5.6274
12/19/2016,6.0803
12/20/2016,6.0925
12/21/2016,6.1025
12/22/2016,6.1075
12/23/2016,6.105
12/26/2016,6.11
12/27/2016,6.11
12/28/2016,6.11
12/29/2016,6.11
12/30/2016,6.1066
01/02/2017,6.11
01/03/2017,6.11
01/04/2017,6.115
01/05/2017,6.12
01/06/2017,6.12
01/09/2017,6.12
01/10/2017,6.115
01/11/2017,6.115
01/12/2017,6.115
01/13/2017,6.115
01/16/2017,6.1175
01/17/2017,6.1186
01/18/2017,6.1276
01/19/2017,6.13
01/20/2017,6.1375
01/23/2017,6.1386
01/24/2017,6.1424
01/25/2017,6.1475
01/26/2017,6.1475
